Ten,Gia ban,Nhom,So lg.,Ma vach,Gia nhap,DpH,
7up 0.5l,27.9,13 -- Potraviny,-24,5900497340502,,,
7-Up 1l,23.9,13 -- Potraviny,0,8594008042831,0,,
7UP 2.5l,38.9,09 -- Napoje,0,5900497342506,,21,
7up 2.25l,39.9,09 -- Napoje,-140,5900497023436,,,
7UP 2.5l,38.9,09 -- Napoje,0,5997264158484,0,,
7-Up 500ml,25.9,09 -- Napoje,0,8594008040523,0,21,
7up cherry 335ml,28.9,09 -- Napoje,0,785300,0,,
7-UP lemon a limetka - 330ml,15.9,13 -- Potraviny,0,5900497340335,0,,
7UP limetka 1.5L,25.9,09 -- Napoje,0,8594008043944,0,21,
8 Torillas 320g,34.9,13 -- Potraviny,0,5412514555559,0,,
8006795100026,29.9,13 -- Potraviny,-12,8006795100026,0,,
8034073873645,39.9,13 -- Potraviny,0,8034073873645,,,
80816652,16.9,13 -- Potraviny,-27,80883586,,,
8430631336957,189,01 -- Alkohol - Pivo - Víno,0,3035131113852,0,,
8436036720742,16.9,13 -- Potraviny,0,20536664,0,,
8590345002095,32.9,13 -- Potraviny,0,8590345400969,,12,
8592206344023,23.9,09 -- Napoje,0,5449000124487,,,
8594001027514,39.9,09 -- Napoje,-129,8594001027514,0,,
8594001696550,14.9,13 -- Potraviny,0,8594001696550,0,12,
8594002171520,139,01 -- Alkohol - Pivo - Víno,0,8594002171520,0,,
8594006960601,18.9,13 -- Potraviny,0,8594006968690,10.9,,
8594007484786,26.9,13 -- Potraviny,-6,8606011898159,,,
8594007487572,49.9,13 -- Potraviny,-6,8936154950231,,,
8594011910011,19.9,13 -- Potraviny,0,85904705,0,12,
8594014725230,89.9,13 -- Potraviny,0,4970077203078,0,12,
8594042940759,19.9,13 -- Potraviny,0,8595012035253,0,,
8594044245913,25.9,13 -- Potraviny,-9,8594044245975,,,
8594158987006,21.9,13 -- Potraviny,0,5900259090454,,,
8595006300435parek,26.9,13 -- Potraviny,-3,8595006319666,0,12,
8595019522169,14.9,13 -- Potraviny,0,8590077310079,0,,
8595139797232,28.9,13 -- Potraviny,-19,8595139797324,,,
8595139797324,28.9,13 -- Potraviny,0,8595139797232,,,
8595156930018,24.9,13 -- Potraviny,0,8595156930018,0,,
8595249104982,39.9,04 -- Drogerie,0,8595663009382,,21,
85961401,100,02 -- Cigarety - Tabak - Mobil,0,85961401,,,
85967373,99,15 -- Textil,0,85967373,,,
8680186440634,34.9,04 -- Drogerie,-4,8680186440634,0,21,
8710447439234,27.9,04 -- Drogerie,0,8710447439234,,,
8710675225746,39.9,15 -- Textil,0,8710675225739,,,
8712100867569,15.9,13 -- Potraviny,0,8712100867743,,,
8934561273172,29.9,13 -- Potraviny,-20,8934561273196,,,
A vata 100g,32.9,04 -- Drogerie,0,8588006780499,,,
A.w cream soda355ml,24.9,09 -- Napoje,0,782640,0,21,
A1-kolíčky dřevěné 24ks,29.9,04 -- Drogerie,0,8595249188708,0,,
A2 - otvírák na víno,99,04 -- Drogerie,0,8595249143776,0,,
Aa varta baterie longlife extra 4ks,59.9,13 -- Potraviny,0,4008496525157,0,,
AAA duracell,119,04 -- Drogerie,0,5000394203358,0,,
Aaa varta baterie longlife extra 4ks,59.9,13 -- Potraviny,0,4008496525072,0,,
AAAAA paprikas 100%chili 100g,59.9,13 -- Potraviny,-7,8855273034267,,,
aariana 500g,29.9,13 -- Potraviny,0,8594002272401,0,,
aariana 500g,39.9,13 -- Potraviny,-20,8594002274108,,,
AARIZONA green tea 500ml,39.9,13 -- Potraviny,0,613008745905,,,
AB tuzemak 0.42l,79.9,03 -- Domaci potreby - Elektro,0,8594056631681,0,,
AB tuzemak 0.5l,99.9,01 -- Alkohol - Pivo - Víno,0,8594056630110,0,,
AB vodka jemna 0.42L,79.9,01 -- Alkohol - Pivo - Víno,0,8594056631674,0,,
abbaye des templiers bordeaux 0.75l,109,01 -- Alkohol - Pivo - Víno,0,3259356637003,73,,
abbayer bordeax 750ml,89,01 -- Alkohol - Pivo - Víno,0,3259356637300,0,,
ABC chilli omacka 135ml,20.9,13 -- Potraviny,0,8595002251267,0,,
ABC chilli omacka extra paliva 135ml,22.9,06 -- Krmivo,0,711844120037,0,12,
ABC nudle 60g,27.9,13 -- Potraviny,0,8992388121038,,,
ABC nudle 60g,27.9,13 -- Potraviny,0,8992388121090,,,
ABC ovocna zelatina tycinky 260g,89.9,13 -- Potraviny,0,4711269686459,,,
ABC sojava omac. sladka 135ml,25.9,13 -- Potraviny,0,8595002251243,0,,
ABC Sojova omacka 135ml,39.9,13 -- Potraviny,0,711844110113,,,
ABC sojova omacka 275g,64.9,13 -- Potraviny,-7,711844110083,,,
Abeceda bezvajecne 500g,13.9,13 -- Potraviny,0,8590077200172,0,,
Abelske koreni 30g,14.9,13 -- Potraviny,0,8593837767229,0,,
Abest napoj 330ml,29.9,09 -- Napoje,-29,8938510764919,,,
Abest napoj guava  330ml,34.9,09 -- Napoje,0,8938510764858,,,
Abest napoj lici  330ml,29.9,09 -- Napoje,-56,8938510764865,,,
Abest napoj mango 330ml,29.9,09 -- Napoje,-60,8938510764872,,,
Abest napoj muncenka  330ml,29.9,09 -- Napoje,-21,8938510764902,,,
Absinth 0.5l,369,01 -- Alkohol - Pivo - Víno,-1,8594001441723,0,,
Absinth 0.7l,459,01 -- Alkohol - Pivo - Víno,0,8594001441365,0,,
Absinth flor 0.5l,439,01 -- Alkohol - Pivo - Víno,-2,8595010600637,0,,
Absinth hills 70%. 700ml,599,01 -- Alkohol - Pivo - Víno,-1,8594018430017,0,,
Absinth hills. 70%. 500ml,359,13 -- Potraviny,-1,8594018430192,0,,
Absolut 0.05l vodka blue 40%,69,13 -- Potraviny,-43,7312040017508,0,,
Absolut 0.2l,245,01 -- Alkohol - Pivo - Víno,-7,7312040017201,0,12,
Absolut vodka 0.5l,369,01 -- Alkohol - Pivo - Víno,-9,7312040017072,0,,
absolut vodka 0.7l,419,01 -- Alkohol - Pivo - Víno,-12,7312040017683,0,,
absolut vodka 1l,479.9,01 -- Alkohol - Pivo - Víno,-19,7312040017034,308.4,21,
Accom syrove nite uzeny 45g,25.9,13 -- Potraviny,0,8594034340734,0,,
aceto balsamico di modena 500ml,49.9,13 -- Potraviny,0,4337185015144,,,
Acidofilni plnotuc. mleko 0.5l,24.9,13 -- Potraviny,-6,8594003024115,0,,
Acidoilni malinove 480g,23.9,13 -- Potraviny,0,8594002783372,0,,
Actavia Ananas 2x120g,11.9,13 -- Potraviny,0,8595002105706,0,12,
Actimel,15.9,13 -- Potraviny,-245,50,0,,
Actimel  jogurtove mleko,9.9,13 -- Potraviny,0,8595002100220,0,,
activa,23.9,11 -- Ovoce - Zelenina,0,8595002106185,0,,
activa 135g AKCE,9.9,13 -- Potraviny,0,8595002106314,0,,
Activa ananas 120G,11.9,13 -- Potraviny,0,8595002100558,0,,
activa cerny rybit 320g/303ml,21.9,13 -- Potraviny,0,8595002101005,0,,
activa malina,25.9,03 -- Domaci potreby - Elektro,0,8595002106178,0,,
Activa-kysany mlecny 320g,25.9,09 -- Napoje,0,8595002100060,0,,
Active   zitno -jahlove 70g/15ks,19.9,13 -- Potraviny,0,8595564503125,,,
Active 140g  AKCE,12.9,13 -- Potraviny,0,8595564503163,0,,
ACTIVE 250g,44.9,13 -- Potraviny,0,8595564510017,,,
Active crispy rusk 180g,29.9,13 -- Potraviny,0,8595564511229,,,
active chleb 500g,46.9,13 -- Potraviny,0,8594001566396,0,12,
Active chleb 500g,46.9,01 -- Alkohol - Pivo - Víno,0,8594001566372,0,,
Active Chlebicky ryzove 120g,24.9,13 -- Potraviny,-20,8594001564262,0,,
Active- krehke platky 105g,11.9,13 -- Potraviny,0,8594001560844,0,,
Active krehke platky 50g/10ks,14.9,12 -- Pecivo,0,8595564517429,,,
Active krehke platky 70g,15.9,13 -- Potraviny,-18,8594001562671,0,,
Active krehke platky 70g,15.9,13 -- Potraviny,-26,8594001562695,0,,
Active krehke platky 70g,21.9,13 -- Potraviny,-37,8595564506591,0,,
Active krehke platky grahamove 105g,11.9,13 -- Potraviny,0,8594001560868,0,,
Active krehke rohlicky 250g,54.9,13 -- Potraviny,-29,8594001565627,0,,
Active krehke rohlicky 250g,44.9,13 -- Potraviny,0,8594001565641,0,,
Active krehke rohlicky 250g,59.9,13 -- Potraviny,-10,8595564509875,,,
Active krehke rohliky 250g,59.9,13 -- Potraviny,-5,8595564509899,,,
Active taveny syr 150g,31.9,13 -- Potraviny,0,3073780878906,0,,
active visen 135g,7.9,13 -- Potraviny,0,20535537,0,,
Active wheat -rye 180g,29.9,13 -- Potraviny,0,8595564511205,,,
Activia,15.9,13 -- Potraviny,0,8595002110106,,,
Activia - Boruvka 135g,14.9,13 -- Potraviny,0,8595002102651,0,,
ACTIVIA  visen 120g,12.9,13 -- Potraviny,0,8595002101197,,,
Activia 120g,12.9,13 -- Potraviny,0,5002101128,,,
ACTIVIA 120G,11.9,13 -- Potraviny,0,8595002101135,0,,
Activia 280g,27.9,13 -- Potraviny,0,8595002108622,,,
Activia 280ml,34.9,13 -- Potraviny,-164,8595002108370,,,
Activia 310g,27.9,13 -- Potraviny,0,8595002106826,0,,
ACTIVIA 310G,25.9,13 -- Potraviny,0,8595002107137,,12,
Activia aloe vera 2x120g,22.9,13 -- Potraviny,0,8595002105577,0,,
Activia biela bílá  310g,27.9,13 -- Potraviny,0,8595002106307,0,,
Activia bila 120g,11.9,13 -- Potraviny,0,8595002104655,0,,
Activia bila 120g,17.9,13 -- Potraviny,-39,8595002101180,,12,
Activia bila 180g,13.9,13 -- Potraviny,0,8595002100503,0,12,
Activia Bila 280g,29.9,09 -- Napoje,0,8595002109605,,,
Activia bila 2x120g,22.9,13 -- Potraviny,0,8595002105591,0,12,
Activia bila 480g,11.9,13 -- Potraviny,0,8595002101524,0,,
Activia bila cokolada 170g,19.9,13 -- Potraviny,0,8595002104815,0,,
